num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
10000,1,0.9905,0.020203903317451477,0.48,0.49,-0.01,18.154,0,924.6266737665676
20000,2501,0.981,0.0481024906039238,0.48,0.502,-0.022,17.808,0,194.08324984903416
30000,5001,0.9715,0.021596617996692657,0.482,0.502,-0.02,17.016,0,157.63856771304228
40000,7501,0.962,0.014940348453819752,0.484,0.502,-0.018,17.226,0,145.33873714114276
50000,10001,0.9525,0.024106061086058617,0.49,0.498,-0.008,17.75,0,138.70583202997773
60000,12501,0.9430000000000001,0.020556215196847916,0.58,0.4,0.18,17.058,0,134.55867513930065
70000,15001,0.9335,0.02113168314099312,0.536,0.442,0.094,16.65,0,131.9312269112625
80000,17501,0.924,0.01850615069270134,0.52,0.452,0.068,17.826,0,130.01808095246957
90000,20001,0.9145,0.021325020119547844,0.512,0.48,0.032,15.292,0,128.36226265169125
100000,22501,0.905,0.01506979949772358,0.514,0.472,0.042,15.76,0,127.08785099564199
110000,25001,0.8955,0.022727470844984055,0.536,0.448,0.088,17.008,0,126.15960911125259
120000,27501,0.886,0.014199148863554,0.508,0.476,0.032,16.862,0,125.40734309494736
130000,30001,0.8765000000000001,0.016356607899069786,0.52,0.462,0.058,17.614,0,124.77623974690835
140000,32501,0.867,0.009234060533344746,0.572,0.408,0.164,18.726,0,124.2842188837336
150000,35001,0.8575,0.010573883540928364,0.54,0.438,0.102,18.368,0,123.84103862940901
160000,37501,0.848,0.014050178229808807,0.556,0.426,0.13,17.308,0,123.41515552572127
170000,40001,0.8385,0.005351823754608631,0.558,0.424,0.134,17.146,0,123.05522538876883
180000,42501,0.829,0.0035810850095003843,0.542,0.44,0.102,16.614,0,122.76441264987358
190000,45001,0.8195,0.001807347871363163,0.554,0.432,0.122,17.154,0,122.49063750712455
200000,47501,0.81,0.0038185114972293377,0.574,0.41,0.164,17.342,0,122.12080565437314
210000,50001,0.8005,0.002005985239520669,0.594,0.386,0.208,19.462,0,119.75060202286164
220000,52501,0.791,0.0013618767261505127,0.592,0.372,0.22,17.574,0,117.7837697155
230000,55001,0.7815,0.0006644558743573725,0.59,0.39,0.2,17.882,0,116.37213882638716
240000,57501,0.772,0.0014473687624558806,0.566,0.42,0.146,17.102,0,114.77629456762938
250000,60001,0.7625,0.0007385793142020702,0.582,0.4,0.182,17.928,0,113.5319360118025
260000,62501,0.753,0.0009651287691667676,0.588,0.396,0.192,17.296,0,112.37941869280017
270000,65001,0.7435,0.0014350047567859292,0.602,0.374,0.228,17.254,0,111.28191287776426
280000,67501,0.734,0.0013544068206101656,0.572,0.418,0.154,16.036,0,110.29754302942396
290000,70001,0.7245,0.003133482299745083,0.63,0.35,0.28,18.184,0,109.3904388588725
300000,72501,0.7150000000000001,0.001586424419656396,0.59,0.394,0.196,15.39,0,108.48772803754093
310000,75001,0.7055,0.0011720818001776934,0.616,0.366,0.25,16.35,0,107.6899973399656
320000,77501,0.696,0.0018525964114814997,0.612,0.362,0.25,17.092,0,106.90303723898083
330000,80001,0.6865,0.00403832970187068,0.63,0.35,0.28,17.746,0,106.18248002133434
340000,82501,0.677,0.002765933983027935,0.616,0.364,0.252,15.634,0,105.49838366930557
350000,85001,0.6675,0.0032719140872359276,0.644,0.35,0.294,14.986,0,104.89588548470414
360000,87501,0.658,0.0023344869259744883,0.676,0.3,0.376,16.55,0,104.48812687774098
370000,90001,0.6485000000000001,0.0029262597672641277,0.686,0.298,0.388,14.394,0,104.04363310415452
380000,92501,0.639,0.0022157460916787386,0.654,0.338,0.316,14.252,0,103.60514900101013
390000,95001,0.6295,0.001364697702229023,0.68,0.304,0.376,15.204,0,103.24371806439983
400000,97501,0.62,0.0019957413896918297,0.698,0.284,0.414,14.794,0,102.82204485013659
410000,100001,0.6105,0.00550477672368288,0.712,0.278,0.434,14.05,0,102.50328184681318
420000,102501,0.601,0.003017975250259042,0.72,0.274,0.446,13.606,0,102.1765044517727
430000,105001,0.5915,0.00224121892824769,0.744,0.238,0.506,13.818,0,101.77697646961762
440000,107501,0.5820000000000001,0.0031893723644316196,0.754,0.236,0.518,12.994,0,101.4348882317646
450000,110001,0.5725,0.0028278299141675234,0.768,0.222,0.546,12.61,0,101.14612822038147
460000,112501,0.563,0.0021102153696119785,0.772,0.226,0.546,12.18,0,100.87097619342407
470000,115001,0.5535000000000001,0.0027447103057056665,0.768,0.224,0.544,13.096,0,100.62624323172571
480000,117501,0.544,0.002263188362121582,0.768,0.218,0.55,13.728,0,100.31518004524152
490000,120001,0.5345,0.0017730460967868567,0.776,0.208,0.568,12.53,0,100.06465721306901
500000,122501,0.525,0.002243179827928543,0.778,0.214,0.564,13.03,0,99.84958793162538
510000,125001,0.5155000000000001,0.002269539749249816,0.8,0.192,0.608,12.016,0,99.664188186921
520000,127501,0.506,0.0024674192536622286,0.792,0.192,0.6,11.722,0,99.32238756062837
530000,130001,0.49650000000000005,0.002408223692327738,0.794,0.198,0.596,11.812,0,98.91818952443094
540000,132501,0.487,0.0022162324748933315,0.81,0.182,0.628,10.21,0,98.1499373916206
550000,135001,0.47750000000000004,0.0053505366668105125,0.852,0.138,0.714,10.826,0,97.42613039619143
560000,137501,0.46799999999999997,0.0014185509644448757,0.842,0.156,0.686,10.192,0,97.09787272227425
570000,140001,0.4585,0.0022487076930701733,0.854,0.142,0.712,10.536,0,96.73766258969903
580000,142501,0.44900000000000007,0.0026988498866558075,0.85,0.142,0.708,9.826,0,96.40150779171786
590000,145001,0.4395,0.0026833550073206425,0.808,0.186,0.622,9.964,0,96.07162207276028
600000,147501,0.43000000000000005,0.001710176351480186,0.854,0.14,0.714,9.868,0,95.81969337255381
610000,150001,0.4205,0.002002367749810219,0.834,0.162,0.672,9.896,0,95.64942245961888
620000,152501,0.41100000000000003,0.0016171004390344024,0.86,0.132,0.728,10.188,0,95.53868253204215
630000,155001,0.4015000000000001,0.0019168795552104712,0.866,0.132,0.734,8.398,0,95.39825819318314
640000,157501,0.392,0.001915338565595448,0.888,0.106,0.782,8.956,0,95.31666383624871
650000,160001,0.38250000000000006,0.0020805182866752148,0.888,0.11,0.778,9.434,0,95.2373588734725
660000,162501,0.373,0.002254134975373745,0.878,0.116,0.762,7.96,0,95.08002492782914
670000,165001,0.36350000000000005,0.0014983261935412884,0.886,0.11,0.776,8.01,0,95.01525385322873
680000,167501,0.354,0.001975527498871088,0.912,0.088,0.824,8.362,0,94.94283461329577
690000,170001,0.34450000000000003,0.001530952868051827,0.912,0.08,0.832,8.016,0,94.85677235415376
700000,172501,0.3350000000000001,0.0017421531956642866,0.9,0.096,0.804,7.366,0,94.76780480224274
710000,175001,0.3255,0.0016344264149665833,0.914,0.084,0.83,8.122,0,94.64656634235698
720000,177501,0.31600000000000006,0.0018695095786824822,0.918,0.08,0.838,7.1,0,94.52858339176812
730000,180001,0.3065,0.0016915022861212492,0.918,0.076,0.842,7.376,0,94.44698517826596
740000,182501,0.29700000000000004,0.0017642974853515625,0.916,0.08,0.836,7.304,0,94.3866591541427
750000,185001,0.2875000000000001,0.0016099074855446815,0.916,0.08,0.836,6.828,0,94.28135471997827
760000,187501,0.278,0.0015219009947031736,0.904,0.092,0.812,6.994,0,94.21493329224316
770000,190001,0.26850000000000007,0.001703314483165741,0.926,0.068,0.858,7.49,0,94.1613334518283
780000,192501,0.259,0.0017856582999229431,0.938,0.054,0.884,7.27,0,94.0905885562923
790000,195001,0.24950000000000006,0.001829752465710044,0.94,0.056,0.884,6.718,0,94.00036915110563
800000,197501,0.24,0.0018684816313907504,0.944,0.052,0.892,6.18,0,93.9286561741303
