num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
10000,1,0.9905,0.01597679778933525,0.496,0.492,0.004,16.112,0,491.18060379614803
20000,2501,0.981,0.021472403779625893,0.518,0.462,0.056,16.464,0,116.27556693152478
30000,5001,0.9715,0.0254883524030447,0.526,0.444,0.082,18.04,0,93.59092237422158
40000,7501,0.962,0.027847176417708397,0.5,0.48,0.02,16.284,0,85.216628188403
50000,10001,0.9525,0.017663776874542236,0.514,0.472,0.042,17.616,0,80.83868074410125
60000,12501,0.9430000000000001,0.030939003452658653,0.546,0.444,0.102,16.562,0,77.92672566059353
70000,15001,0.9335,0.018634099513292313,0.55,0.436,0.114,17.264,0,76.23349018844765
80000,17501,0.924,0.031055929139256477,0.546,0.436,0.11,16.228,0,75.02483041393056
90000,20001,0.9145,0.018920235335826874,0.53,0.458,0.072,17.348,0,74.12417811091137
100000,22501,0.905,0.037997979670763016,0.494,0.496,-0.002,16.604,0,73.12133595149923
110000,25001,0.8955,0.016256432980298996,0.582,0.402,0.18,18.076,0,72.3551978878689
120000,27501,0.886,0.018027281388640404,0.516,0.466,0.05,17.724,0,71.81004587758653
130000,30001,0.8765000000000001,0.012970670126378536,0.558,0.414,0.144,18.58,0,71.3557335788554
140000,32501,0.867,0.00859689712524414,0.548,0.428,0.12,17.884,0,70.96930648623002
150000,35001,0.8575,0.0190582312643528,0.52,0.47,0.05,16.92,0,70.7486600742049
160000,37501,0.848,0.010948657989501953,0.554,0.436,0.118,18.212,0,70.4189130054077
170000,40001,0.8385,0.005727278534322977,0.546,0.44,0.106,17.676,0,70.08548166866461
180000,42501,0.829,0.0059631261974573135,0.558,0.428,0.13,16.978,0,69.90385052737227
190000,45001,0.8195,0.0025048234965652227,0.54,0.452,0.088,17.454,0,69.57331285444697
200000,47501,0.81,0.0027408762834966183,0.546,0.442,0.104,16.736,0,69.32633524400718
210000,50001,0.8005,0.0026735852006822824,0.534,0.45,0.084,17.562,0,69.05948830457857
220000,52501,0.791,0.0014106286689639091,0.54,0.444,0.096,16.998,0,68.87912691678032
230000,55001,0.7815,0.001515537383966148,0.574,0.414,0.16,18.366,0,68.70445049954442
