num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
10000,1,0.9905,0.027483217418193817,0.474,0.516,-0.042,15.278,0,198.41205510060672
20000,2501,0.981,0.02141137793660164,0.522,0.45,0.072,17.176,0,70.4645012535993
30000,5001,0.9715,0.022691376507282257,0.474,0.498,-0.024,17.35,0,72.97231333185043
40000,7501,0.962,0.013141266070306301,0.498,0.482,0.016,18.412,0,56.17575836858269
50000,10001,0.9525,0.03513756021857262,0.524,0.466,0.058,16.77,0,57.96570904773453
60000,12501,0.9430000000000001,0.027585234493017197,0.532,0.456,0.076,16.654,0,59.62846720758405
70000,15001,0.9335,0.035236287862062454,0.538,0.442,0.096,17.864,0,61.76803596281453
80000,17501,0.924,0.019853204488754272,0.516,0.472,0.044,15.698,0,63.2589725031869
90000,20001,0.9145,0.03496331721544266,0.53,0.458,0.072,16.13,0,64.2436015303322
100000,22501,0.905,0.024767668917775154,0.532,0.45,0.082,16.862,0,65.5200948638841
110000,25001,0.8955,0.0186459943652153,0.538,0.446,0.092,18.296,0,65.92823291383324
120000,27501,0.886,0.01265706866979599,0.52,0.452,0.068,18.638,0,66.09645747531043
130000,30001,0.8765000000000001,0.014313803054392338,0.55,0.438,0.112,16.254,0,66.23586847099929
140000,32501,0.867,0.009822065941989422,0.558,0.426,0.132,17.176,0,66.59687896126295
150000,35001,0.8575,0.009390412829816341,0.54,0.434,0.106,18.678,0,66.62969664672617
160000,37501,0.848,0.009370100684463978,0.562,0.418,0.144,18.494,0,66.36762776492488
170000,40001,0.8385,0.0052941180765628815,0.5,0.472,0.028,17.348,0,66.13441130629488
180000,42501,0.829,0.007080020848661661,0.526,0.456,0.07,17.346,0,66.20901762401303
190000,45001,0.8195,0.005576716270297766,0.532,0.444,0.088,19.112,0,66.26234002398807
200000,47501,0.81,0.004933365620672703,0.544,0.446,0.098,17.12,0,66.33732925238414
210000,50001,0.8005,0.001582481898367405,0.566,0.422,0.144,16.53,0,66.34243504540905
220000,52501,0.791,0.005736217368394136,0.56,0.412,0.148,19.238,0,66.38598011493391
230000,55001,0.7815,0.0026737761218100786,0.552,0.42,0.132,18.612,0,66.42331713185554
240000,57501,0.772,0.0028264354914426804,0.52,0.466,0.054,18.108,0,66.4601440088442
250000,60001,0.7625,0.0026539305690675974,0.554,0.43,0.124,16.87,0,66.49594726449288
260000,62501,0.753,0.0022800308652222157,0.572,0.406,0.166,16.408,0,66.53038422117774
270000,65001,0.7435,0.0012102258624508977,0.564,0.406,0.158,17.586,0,66.77216010618011
280000,67501,0.734,0.001268961583264172,0.578,0.394,0.184,17.31,0,67.00116609207667
290000,70001,0.7245,0.00182456208858639,0.61,0.372,0.238,16.802,0,67.18575439466466
300000,72501,0.7150000000000001,0.0024076695553958416,0.574,0.406,0.168,17.596,0,67.37602638436444
310000,75001,0.7055,0.0024155734572559595,0.594,0.384,0.21,17.272,0,67.49341509144296
320000,77501,0.696,0.0033459498081356287,0.584,0.39,0.194,17.956,0,67.62018068047024
330000,80001,0.6865,0.0017515423242002726,0.564,0.416,0.148,17.91,0,67.73983658557616
340000,82501,0.677,0.001543892314657569,0.584,0.384,0.2,17.358,0,67.89565949134474
350000,85001,0.6675,0.004160845652222633,0.626,0.334,0.292,19.222,0,68.04883043354961
360000,87501,0.658,0.002390804700553417,0.654,0.32,0.334,17.008,0,68.16950947745549
370000,90001,0.6485000000000001,0.0015914011746644974,0.634,0.338,0.296,17.472,0,68.43899052520551
380000,92501,0.639,0.005213995464146137,0.632,0.336,0.296,18.0,0,68.05253063984065
390000,95001,0.6295,0.0018340395763516426,0.648,0.314,0.334,16.724,0,66.92087054936592
400000,97501,0.62,0.002395240357145667,0.64,0.324,0.316,17.93,0,66.57871077816394
410000,100001,0.6105,0.002529729390516877,0.644,0.342,0.302,15.112,0,66.04115062863302
420000,102501,0.601,0.0033091874793171883,0.646,0.328,0.318,17.314,0,65.04797358767821
430000,105001,0.5915,0.0057082343846559525,0.656,0.322,0.334,16.948,0,64.6484867895844
440000,107501,0.5820000000000001,0.00630763778463006,0.696,0.286,0.41,16.878,0,64.0213965774371
450000,110001,0.5725,0.0019158818759024143,0.696,0.278,0.418,16.966,0,64.2306052638948
460000,112501,0.563,0.003908407874405384,0.694,0.278,0.416,16.374,0,64.31826084467545
470000,115001,0.5535000000000001,0.002573760924860835,0.67,0.304,0.366,16.326,0,64.38521828617182
480000,117501,0.544,0.0021599463652819395,0.712,0.264,0.448,16.544,0,64.47182631393454
490000,120001,0.5345,0.0017936888616532087,0.734,0.238,0.496,15.262,0,64.53463441338131
500000,122501,0.525,0.0038031975273042917,0.702,0.27,0.432,15.83,0,64.6525078126095
510000,125001,0.5155000000000001,0.0036451700143516064,0.74,0.25,0.49,14.644,0,64.79831721415898
520000,127501,0.506,0.0030350179877132177,0.784,0.198,0.586,14.516,0,64.92794190897854
530000,130001,0.49650000000000005,0.002995473798364401,0.8,0.186,0.614,13.066,0,65.03895537030614
540000,132501,0.487,0.0018642069771885872,0.756,0.218,0.538,15.524,0,65.16489950351713
550000,135001,0.47750000000000004,0.0034817936830222607,0.746,0.244,0.502,13.742,0,65.29820254888443
560000,137501,0.46799999999999997,0.0038827969692647457,0.838,0.148,0.69,12.562,0,65.43128372241246
570000,140001,0.4585,0.0032343550119549036,0.782,0.204,0.578,12.618,0,65.55849951888938
580000,142501,0.44900000000000007,0.002735557034611702,0.804,0.182,0.622,12.254,0,65.66992322905764
590000,145001,0.4395,0.0022427148651331663,0.792,0.2,0.592,12.766,0,65.66221542532747
600000,147501,0.43000000000000005,0.0024020555429160595,0.814,0.17,0.644,12.786,0,65.60887061247409
610000,150001,0.4205,0.002317557344213128,0.798,0.188,0.61,12.746,0,65.598480122619
620000,152501,0.41100000000000003,0.0017849846044555306,0.8,0.18,0.62,12.558,0,65.51700265820745
630000,155001,0.4015000000000001,0.0029831191059201956,0.824,0.168,0.656,10.6,0,65.42814521094441
640000,157501,0.392,0.003339469898492098,0.842,0.132,0.71,12.348,0,65.33753995965814
650000,160001,0.38250000000000006,0.0031994807068258524,0.844,0.136,0.708,10.72,0,65.31867552143534
660000,162501,0.373,0.0042601460590958595,0.856,0.132,0.724,11.114,0,65.303662005182
670000,165001,0.36350000000000005,0.003083332907408476,0.844,0.144,0.7,11.086,0,65.30924389114391
680000,167501,0.354,0.0037287664599716663,0.856,0.132,0.724,10.294,0,65.281195898695
690000,170001,0.34450000000000003,0.0020814002491533756,0.884,0.11,0.774,9.538,0,65.24711991467225
700000,172501,0.3350000000000001,0.002109149005264044,0.908,0.084,0.824,9.51,0,65.28114982700635
710000,175001,0.3255,0.0020567544270306826,0.896,0.094,0.802,9.88,0,65.3875026761676
720000,177501,0.31600000000000006,0.001769772614352405,0.91,0.084,0.826,9.754,0,64.88385821414889
730000,180001,0.3065,0.0025363147724419832,0.9,0.086,0.814,9.47,0,64.45598471801128
740000,182501,0.29700000000000004,0.0029017478227615356,0.902,0.092,0.81,9.692,0,64.50284569680369
750000,185001,0.2875000000000001,0.0019008954986929893,0.908,0.088,0.82,8.604,0,64.1427303194657
760000,187501,0.278,0.0020575346425175667,0.902,0.088,0.814,9.22,0,63.64632479552735
770000,190001,0.26850000000000007,0.0016115307807922363,0.916,0.078,0.838,8.492,0,63.18432961705179
780000,192501,0.259,0.0020799431949853897,0.926,0.056,0.87,8.734,0,62.55729149109654
790000,195001,0.24950000000000006,0.002341153100132942,0.916,0.072,0.844,8.126,0,62.4233155285791
800000,197501,0.24,0.003149163443595171,0.922,0.068,0.854,8.172,0,61.87817827123583
810000,200001,0.23050000000000004,0.0017536653904244304,0.932,0.062,0.87,7.836,0,61.57359357333184
820000,202501,0.22100000000000009,0.002225319854915142,0.928,0.056,0.872,7.904,0,61.49147562019186
830000,205001,0.21150000000000002,0.0026480727829039097,0.944,0.048,0.896,7.128,0,61.216834780764266
840000,207501,0.20200000000000007,0.002709151478484273,0.956,0.036,0.92,7.338,0,61.25964019717399
850000,210001,0.1925,0.0020762309432029724,0.948,0.048,0.9,7.27,0,61.246604557440264
860000,212501,0.18300000000000005,0.0032257470302283764,0.948,0.042,0.906,7.228,0,61.23249248020859
870000,215001,0.1735,0.0020943593699485064,0.94,0.054,0.886,7.314,0,61.24767601085916
880000,217501,0.16400000000000003,0.0014452484901994467,0.948,0.046,0.902,7.24,0,61.27926352408731
890000,220001,0.15450000000000008,0.0018863945733755827,0.938,0.06,0.878,6.32,0,61.304145545619185
900000,222501,0.14500000000000002,0.0023586219176650047,0.954,0.034,0.92,7.512,0,61.30658611003713
910000,225001,0.13550000000000006,0.0019356315024197102,0.958,0.04,0.918,6.578,0,61.329473527875884
920000,227501,0.126,0.0026911976747214794,0.964,0.03,0.934,5.906,0,61.26895630282169
930000,230001,0.11650000000000005,0.0018255494069308043,0.968,0.02,0.948,7.498,0,61.21086881235355
940000,232501,0.1070000000000001,0.0018690975848585367,0.962,0.024,0.938,7.164,0,61.18606040839206
950000,235001,0.09750000000000003,0.0018403180874884129,0.97,0.02,0.95,6.908,0,61.19703367263035
960000,237501,0.08800000000000008,0.0039942278526723385,0.962,0.022,0.94,6.512,0,61.22044559127148
970000,240001,0.07850000000000001,0.0019459440372884274,0.962,0.022,0.94,7.052,0,61.18798225864843
980000,242501,0.06900000000000006,0.0024147157091647387,0.976,0.012,0.964,6.468,0,61.13663477134111
990000,245001,0.0595,0.0019805659539997578,0.968,0.024,0.944,6.778,0,61.104010729400564
